iter	Passed	Remaining
689	5554	2495
690	5560	2486
691	5567	2478
692	5577	2470
693	5583	2461
694	5590	2453
695	5596	2444
696	5603	2435
697	5609	2427
698	5615	2418
699	5623	2409
700	5629	2401
701	5635	2392
702	5642	2383
703	5649	2375
704	5655	2366
705	5662	2358
706	5670	2349
707	5677	2341
708	5683	2332
709	5690	2324
710	5696	2315
711	5703	2307
712	5711	2299
713	5718	2290
714	5725	2282
715	5731	2273
716	5739	2265
717	5745	2256
718	5752	2248
719	5758	2239
720	5766	2231
721	5773	2222
722	5779	2214
723	5786	2205
724	5793	2197
725	5800	2188
726	5806	2180
727	5813	2171
728	5819	2163
729	5827	2155
730	5835	2147
731	5843	2139
732	5850	2130
733	5857	2122
734	5864	2114
735	5871	2105
736	5877	2097
737	5883	2088
738	5890	2080
739	5897	2071
740	5903	2063
741	5909	2054
742	5915	2046
743	5922	2037
744	5928	2029
745	5936	2021
746	5944	2013
747	5952	2005
748	5960	1997
749	5969	1989
750	5976	1981
751	5984	1973
752	5992	1965
753	5999	1957
754	6006	1949
755	6013	1941
756	6021	1932
757	6028	1924
758	6035	1916
759	6043	1908
760	6049	1899
761	6056	1891
762	6063	1883
763	6069	1874
764	6076	1866
765	6083	1858
766	6090	1850
767	6097	1842
768	6103	1833
769	6111	1825
770	6118	1817
771	6124	1808
772	6132	1800
773	6138	1792
774	6145	1784
775	6152	1775
776	6159	1767
777	6167	1759
778	6173	1751
779	6180	1743
780	6187	1734
781	6194	1726
782	6200	1718
783	6208	1710
784	6214	1702
785	6221	1693
786	6227	1685
787	6234	1677
788	6241	1669
789	6248	1660
790	6255	1652
791	6262	1644
792	6268	1636
793	6276	1628
794	6282	1620
795	6291	1612
796	6297	1604
797	6303	1595
798	6310	1587
799	6318	1579
800	6323	1571
801	6330	1562
802	6337	1554
803	6343	1546
804	6351	1538
805	6358	1530
806	6367	1522
807	6374	1514
808	6380	1506
809	6386	1498
810	6393	1489
811	6398	1481
812	6405	1473
813	6412	1465
814	6418	1456
815	6426	1449
816	6432	1440
817	6439	1432
818	6445	1424
819	6452	1416
820	6459	1408
821	6466	1400
822	6472	1392
823	6479	1384
824	6486	1375
825	6493	1367
826	6499	1359
827	6506	1351
828	6514	1343
829	6520	1335
830	6527	1327
831	6534	1319
832	6540	1311
833	6547	1303
834	6554	1295
835	6561	1287
836	6568	1279
837	6575	1271
838	6582	1263
839	6589	1255
840	6595	1246
841	6602	1238
842	6609	1230
843	6615	1222
844	6623	1214
845	6630	1206
846	6636	1198
847	6643	1190
848	6651	1182
849	6657	1174
850	6664	1166
851	6670	1158
852	6677	1150
853	6684	1142
854	6691	1134
855	6698	1126
856	6705	1118
857	6712	1110
858	6718	1102
859	6724	1094
860	6732	1086
861	6738	1078
862	6745	1070
863	6752	1062
864	6761	1055
865	6767	1047
866	6774	1039
867	6780	1031
868	6787	1023
869	6793	1015
870	6800	1007
871	6808	999
872	6815	991
873	6823	983
874	6830	975
875	6837	967
876	6844	959
877	6851	951
878	6857	943
879	6863	935
880	6870	927
881	6875	919
882	6882	911
883	6888	903
884	6895	896
885	6902	888
886	6908	880
887	6915	872
888	6921	864
889	6928	856
890	6935	848
891	6942	840
892	6949	832
893	6955	824
894	6962	816
895	6968	808
896	6975	800
897	6982	793
898	6988	785
899	6995	777
900	7002	769
901	7009	761
902	7016	753
903	7023	745
904	7029	737
905	7036	730
906	7043	722
907	7049	714
908	7056	706
909	7063	698
910	7070	690
911	7077	682
912	7083	674
913	7089	667
914	7096	659
915	7102	651
916	7109	643
917	7115	635
918	7122	627
919	7128	619
920	7135	612
921	7142	604
922	7150	596
923	7156	588
924	7163	580
925	7169	572
926	7175	565
927	7181	557
928	7188	549
929	7194	541
930	7201	533
931	7207	525
932	7214	518
933	7221	510
934	7228	502
935	7235	494
936	7242	486
937	7249	479
938	7255	471
939	7262	463
940	7268	455
941	7275	447
942	7283	440
943	7289	432
944	7297	424
945	7303	416
946	7309	409
947	7317	401
948	7323	393
949	7330	385
950	7337	378
951	7344	370
952	7350	362
953	7357	354
954	7364	347
955	7371	339
956	7378	331
957	7386	323
958	7394	316
959	7402	308
960	7409	300
961	7415	292
962	7422	285
963	7429	277
964	7437	269
965	7444	262
966	7451	254
967	7459	246
968	7467	238
969	7474	231
970	7481	223
971	7487	215
972	7494	207
973	7500	200
974	7507	192
975	7514	184
976	7520	177
977	7527	169
978	7535	161
979	7542	153
980	7549	146
981	7558	138
982	7565	130
983	7572	123
984	7580	115
985	7587	107
986	7595	100
987	7603	92
988	7609	84
989	7617	76
990	7623	69
991	7630	61
992	7637	53
993	7644	46
994	7652	38
995	7658	30
996	7664	23
997	7671	15
998	7678	7
999	7694	0
